Orig_subID,Orig_ses,Original_file,Renamed_subID,Renamed_ses,Renamed_file,nvols,type,image_folder,image_type
sub-MILO,ses-20211130,sub-MILO_ses-20211130_T2w.json,sub-001,ses-007,sub-001_ses-007_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20211216,sub-MILO_ses-20211216_run-1_T1w.nii.gz,sub-001,ses-008,sub-001_ses-008_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20211216,sub-MILO_ses-20211216_run-1_T1w.json,sub-001,ses-008,sub-001_ses-008_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20211216,sub-MILO_ses-20211216_run-2_T1w.nii.gz,sub-001,ses-008,sub-001_ses-008_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20211216,sub-MILO_ses-20211216_run-2_T1w.json,sub-001,ses-008,sub-001_ses-008_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20211216,sub-MILO_ses-20211216_T2w.nii.gz,sub-001,ses-008,sub-001_ses-008_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20211216,sub-MILO_ses-20211216_T2w.json,sub-001,ses-008,sub-001_ses-008_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20211228,sub-MILO_ses-20211228_run-1_T1w.nii.gz,sub-001,ses-009,sub-001_ses-009_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20211228,sub-MILO_ses-20211228_run-1_T1w.json,sub-001,ses-009,sub-001_ses-009_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20211228,sub-MILO_ses-20211228_run-2_T1w.nii.gz,sub-001,ses-009,sub-001_ses-009_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20211228,sub-MILO_ses-20211228_run-2_T1w.json,sub-001,ses-009,sub-001_ses-009_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20211228,sub-MILO_ses-20211228_T2w.nii.gz,sub-001,ses-009,sub-001_ses-009_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20211228,sub-MILO_ses-20211228_T2w.json,sub-001,ses-009,sub-001_ses-009_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220111,sub-MILO_ses-20220111_run-1_T1w.nii.gz,sub-001,ses-010,sub-001_ses-010_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220111,sub-MILO_ses-20220111_run-1_T1w.json,sub-001,ses-010,sub-001_ses-010_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220111,sub-MILO_ses-20220111_run-2_T1w.nii.gz,sub-001,ses-010,sub-001_ses-010_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220111,sub-MILO_ses-20220111_run-2_T1w.json,sub-001,ses-010,sub-001_ses-010_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220111,sub-MILO_ses-20220111_T2w.nii.gz,sub-001,ses-010,sub-001_ses-010_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220111,sub-MILO_ses-20220111_T2w.json,sub-001,ses-010,sub-001_ses-010_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220125,sub-MILO_ses-20220125_run-1_T1w.nii.gz,sub-001,ses-011,sub-001_ses-011_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220125,sub-MILO_ses-20220125_run-1_T1w.json,sub-001,ses-011,sub-001_ses-011_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220125,sub-MILO_ses-20220125_run-2_T1w.nii.gz,sub-001,ses-011,sub-001_ses-011_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220125,sub-MILO_ses-20220125_run-2_T1w.json,sub-001,ses-011,sub-001_ses-011_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220125,sub-MILO_ses-20220125_T2w.nii.gz,sub-001,ses-011,sub-001_ses-011_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220125,sub-MILO_ses-20220125_T2w.json,sub-001,ses-011,sub-001_ses-011_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220208,sub-MILO_ses-20220208_run-1_T1w.nii.gz,sub-001,ses-012,sub-001_ses-012_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220208,sub-MILO_ses-20220208_run-1_T1w.json,sub-001,ses-012,sub-001_ses-012_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220208,sub-MILO_ses-20220208_run-2_T1w.nii.gz,sub-001,ses-012,sub-001_ses-012_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220208,sub-MILO_ses-20220208_run-2_T1w.json,sub-001,ses-012,sub-001_ses-012_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220208,sub-MILO_ses-20220208_T2w.nii.gz,sub-001,ses-012,sub-001_ses-012_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220208,sub-MILO_ses-20220208_T2w.json,sub-001,ses-012,sub-001_ses-012_run-1_T2w.json,1,json,anat,T2w
sub-MILO,ses-20220222,sub-MILO_ses-20220222_run-1_T1w.nii.gz,sub-001,ses-013,sub-001_ses-013_run-1_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220222,sub-MILO_ses-20220222_run-1_T1w.json,sub-001,ses-013,sub-001_ses-013_run-1_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220222,sub-MILO_ses-20220222_run-2_T1w.nii.gz,sub-001,ses-013,sub-001_ses-013_run-2_T1w.nii.gz,1,nifti,anat,T1w
sub-MILO,ses-20220222,sub-MILO_ses-20220222_run-2_T1w.json,sub-001,ses-013,sub-001_ses-013_run-2_T1w.json,1,json,anat,T1w
sub-MILO,ses-20220222,sub-MILO_ses-20220222_T2w.nii.gz,sub-001,ses-013,sub-001_ses-013_run-1_T2w.nii.gz,1,nifti,anat,T2w
sub-MILO,ses-20220222,sub-MILO_ses-20220222_T2w.json,sub-001,ses-013,sub-001_ses-013_run-1_T2w.json,1,json,anat,T2w
